,All stations,All stations,All stations,All stations,All stations
,SH,SE,LT,SUM,ORG
2020-05-13,-5.940425349794168,3.670013748461656,286.0104116013325,283.74,283.74
2020-05-14,-1.8351198024690802,3.963069071863856,286.0120507306052,288.14,288.14
2020-05-15,-1.3423695802468956,4.268664635908522,286.0137049443384,288.94,288.94
2020-05-16,-0.4607988148147797,4.585424639452583,286.0153741753622,290.14,290.14
2020-05-17,0.2114592921810754,4.9114823679684605,286.01705833985045,291.14,291.14
2020-05-18,-1.1233478847736933,5.2445907521911295,286.01875713258255,290.14,290.14
2020-05-19,-1.4627059094650008,5.582235941214833,286.02046996825015,290.14,290.14
2020-05-20,-4.803894386831246,5.921698229252513,286.0221961575787,287.14,287.14
2020-05-21,-4.144069135802454,6.260133976549753,286.0239351592527,288.14,288.14
2020-05-22,-0.6803849218106848,6.594698515128016,286.02568640668267,291.94,291.94
2020-05-23,2.189936855967062,6.922613706114419,286.0274494379185,295.14,295.14
2020-05-24,3.8695440329217945,7.241232056902902,286.0292239101753,297.14,297.14
2020-05-25,6.160898370370376,7.548092116241435,286.0310095133882,299.74,299.74
2020-05-26,3.7662413168724242,7.840952650451925,286.03280603267564,297.64,297.64
2020-05-27,3.187566090534972,8.117820586154949,286.03461332331005,297.34,297.34
2020-05-28,-0.7734476378601016,8.377016347566325,286.03643129029376,293.64,293.64
2020-05-29,2.884537942386771,8.617202309456218,286.038259748157,297.53999999999996,297.53999999999996
2020-05-30,3.4623967078188684,8.837504590839558,286.04009870134155,298.34,298.34
2020-05-31,3.0604622222222133,9.037589493719736,286.04194828405804,298.14,298.14
2020-06-01,1.0785964773662613,9.217594912868492,286.0438086097652,296.34,296.34
2020-06-02,2.2163060411522224,9.378014258032522,286.04567970081524,297.64,297.64
2020-06-03,2.1728326584362208,9.519605668751694,286.0475616728121,297.74,297.74
2020-06-04,5.447212510288068,9.64333298904262,286.0494545006693,301.14,301.14
2020-06-05,2.3383287572016798,9.750313314641915,286.0513579281564,298.14,298.14
2020-06-06,-5.755026567901268,9.841754724769885,286.05327184313137,290.14,290.14
2020-06-07,-7.034156773662573,9.918960633773168,286.0551961398894,288.94,288.94
2020-06-08,-4.100436411522651,9.983305234391423,286.0571311771312,291.94,291.94
2020-06-09,-1.155289415637867,10.036212357902059,286.0590770577358,294.94,294.94
2020-06-10,0.3998346008229987,10.079131465138119,286.06103393403885,296.53999999999996,296.53999999999996
2020-06-11,0.36349010699581186,10.113507926254101,286.06300196675005,296.53999999999996,296.53999999999996
2020-06-12,0.9343136131686833,10.140705076017582,286.0649813108137,297.14,297.14
2020-06-13,0.9110259094649678,10.162002033492115,286.0669720570429,297.14,297.14
2020-06-14,1.49248065843625,10.178544915898726,286.06897442566503,297.74,297.74
2020-06-15,0.6776907325103139,10.191320760611461,286.0709885068782,296.94,296.94
2020-06-16,-0.5342317037036537,10.201217225984522,286.07301447771914,295.74,295.74
2020-06-17,0.8558431604938619,10.209104377714368,286.07505246179176,297.14,297.14
2020-06-18,2.4470348641975193,10.215862722597763,286.0771024132047,298.74,298.74
2020-06-19,4.838428707818878,10.222407055743076,286.07916423643803,301.14,301.14
2020-06-20,3.8290704855966737,10.229691678010226,286.0812378363931,300.14,300.14
2020-06-21,0.417981497942435,10.238695289022246,286.0833232130353,296.74,296.74
2020-06-22,-1.395779423868305,10.250359014279297,286.085420409589,294.94,294.94
2020-06-23,-3.0130795720164656,10.26555000110011,286.08752957091633,293.34,293.34
2020-06-24,-0.2346781234567743,10.285027277668917,286.08965084578784,296.14,296.14
2020-06-25,-0.2612050699588053,10.309420686699013,286.0917843832598,296.14,296.14
2020-06-26,-2.493175440329196,10.339245071279038,286.09393036905016,293.94,293.94
2020-06-27,-3.9310768724279797,10.374987774353201,286.09608909807474,292.53999999999996,292.53999999999996
2020-06-28,-2.87532931687241,10.417068402848486,286.0982609140239,293.64,293.64
2020-06-29,-3.026244213991845,10.465798154352058,286.10044605963975,293.53999999999996,293.53999999999996
2020-06-30,-2.883992625514452,10.521347835084441,286.10264479043,293.74,293.74
2020-07-01,-0.5485706008230977,10.583713228251895,286.1048573725712,296.14,296.14
